gen time
500 2.81
1000 6.21
1500 9.93
2000 13.93
2500 18.14
3000 22.57
3500 27.27
4000 32.08
4500 37.03
5000 42.26
5500 47.69
6000 53.26
6500 58.8
7000 64.52
7500 70.54
8000 76.5
8500 82.54
9000 88.99
9500 95.65
10000 102.62
10500 109.72
11000 116.82
11500 123.13
12000 129.48
12500 135.94
13000 142.39
13500 148.99
14000 155.63
14500 162.31
15000 168.89
15500 175.43
16000 181.94
16500 188.43
17000 195.12
17500 201.8
18000 208.9
18500 216.91
19000 224.92
19500 233.08
20000 241.51
20500 250.14
21000 258.78
21500 267.62
22000 276.55
22500 285.52
23000 294.65
23500 303.49
24000 312.37
24500 322.05
25000 331.8
25500 341.65
26000 351.66
26500 361.68
27000 371.71
27500 381.9
28000 392.25
28500 403.1
29000 413.85
29500 422.83
30000 433.77
30500 444.75
31000 455.6
31500 466.21
32000 476.85
32500 487.54
33000 498.41
33500 509.86
34000 520.65
34500 531.68
35000 542.71
35500 553.75
36000 564.93
36500 576.27
37000 587.65
37500 599.14
38000 611.21
38500 622.66
39000 634.13
39500 645.66
40000 657.3
40500 668.99
41000 681.05
41500 693.06
42000 704.87
42500 716.64
43000 728.51
43500 740.52
44000 752.47
44500 764.31
45000 776.15
45500 787.8
46000 799.82
46500 811.66
47000 822.95
47500 834.2
48000 845.4
48500 856.58
49000 867.97
49500 877.42
50000 888.4
50500 1454.41
51000 2034.31
51500 2592.4
52000 3131.27
52500 3677.66
53000 4222.02
53500 4767.21
54000 5305.49
54500 5842.45
55000 6369.54
55500 6902.13
56000 7423.98
56500 7942.46
57000 8461.07
57500 8984.51
58000 9513.18
58500 10056.9
59000 10598.4
59500 11134.9
60000 11678.9
60500 12228.5
61000 12760.7
61500 13277.8
62000 13803
62500 14339.4
63000 14892.9
63500 15454
64000 16020.5
64500 16575
65000 17129.2
65500 17681.7
66000 18237.1
66500 18781.6
67000 19321.2
67500 19872.1
68000 20422.9
68500 20979.7
69000 21546.5
69500 22120
70000 22688.1
70500 23277.1
71000 23871.8
71500 24465.3
72000 25060.5
72500 25641.8
73000 26217.3
73500 26791.8
74000 27383.9
74500 27977.9
75000 28577.8
75500 29200.4
76000 29829.2
76500 30440
77000 31007.9
77500 31576.3
78000 32142.9
78500 32710.9
79000 33273
79500 33835.2
80000 34399.3
80500 34979.6
81000 35563.3
81500 36134.9
82000 36720.7
82500 37311.3
83000 37879.9
83500 38342
84000 38795.8
84500 39259.3
85000 39728.3
85500 40208.8
86000 40693.9
86500 41186.3
87000 41687.8
87500 42197.8
88000 42701.4
88500 43202.9
89000 43711.9
89500 44214.9
90000 44724.4
90500 45243.1
91000 45763.2
91500 46285.7
92000 46807.5
92500 47336.6
93000 47870.4
93500 48401.5
94000 48931.6
94500 49455.3
95000 49975.2
95500 50490.7
96000 51003.5
96500 51515.4
97000 52029.4
97500 52544.7
98000 53066.2
98500 53588.4
99000 54112.6
99500 54642.5
100000 55165.6
100500 55684.4
101000 56191.7
101500 56704.8
102000 57225.6
102500 57754
103000 58285.5
103500 58819.6
104000 59353
104500 59899.1
105000 60457.3
105500 61005.2
106000 61553.5
106500 62101.2
107000 62657
107500 63217.3
108000 63784
108500 64340.4
109000 64891.4
109500 65434.6
110000 65920.6
110500 66427.1
111000 66937.7
111500 67426.5
112000 67923.6
112500 68423.3
113000 68924.8
113500 69405.9
114000 69878.5
114500 70356.3
115000 70823.6
115500 71290.4
116000 71750.8
