gen time
500 22.07
1000 63.3
1500 116.89
2000 181.31
2500 255.43
3000 337.25
3500 434.57
4000 544.96
4500 666.57
5000 800.45
5500 948.13
6000 1099.45
6500 1266.52
7000 1446.59
7500 1627.78
8000 1831.05
8500 2037.72
9000 2259.15
9500 2492.05
10000 2734.16
10500 2990.45
11000 3241.93
11500 3517.81
12000 3807.77
12500 4108.62
13000 4422.25
13500 4739.69
14000 5007.78
14500 5336.33
15000 5664.46
15500 6017.47
16000 6376.33
16500 6747.36
17000 7129.79
17500 7515.52
18000 7897.96
18500 8205.42
19000 8469.89
19500 8737.99
20000 9003.58
20500 9267.29
21000 9535.2
21500 9808.54
22000 10095.8
22500 10380
23000 10666.6
23500 10952.8
24000 11238.4
24500 11522.5
25000 11799.8
25500 12052.6
26000 12298.8
26500 12544.7
27000 12780.2
27500 13033.2
28000 13287.7
28500 13546.1
29000 13784.5
29500 14043.4
30000 14300.1
30500 14567.6
31000 14829.4
31500 15101.4
32000 15360.6
32500 15619
33000 15882.1
33500 16144
34000 16401.1
34500 16659.9
35000 16927.9
35500 17197.1
36000 17461.7
36500 17732.1
37000 18001.2
37500 18269.6
38000 18540
38500 18814.4
39000 19085.9
39500 19357
40000 19631.3
40500 19907.8
41000 20177.9
41500 20458.6
42000 20737.3
42500 21000.5
43000 21248.3
43500 21498.2
44000 21750
44500 22003.7
45000 22258.2
45500 22511.2
46000 22766
46500 23020.6
47000 23283.6
47500 23564
48000 23840.6
48500 24123.1
49000 24403.3
49500 24682
50000 24959.9
50500 26109.2
51000 27190.2
51500 28263.3
52000 29277.3
52500 30276.9
53000 31269
53500 32260.1
54000 33298.7
54500 34386.9
55000 35477.2
55500 36565.3
56000 37661.7
56500 38756.9
57000 39851.1
57500 40959.3
58000 42065.1
58500 43156.3
59000 44162.6
59500 45141.6
60000 46096.4
60500 47060
61000 48031
61500 48998.5
62000 49964.3
62500 50929.4
63000 51892.6
63500 52845.3
64000 53796.1
64500 54750.4
65000 55690.8
65500 56620.6
66000 57549.6
66500 58472.7
67000 59396.4
67500 60316.4
68000 61240.4
68500 62158.6
69000 63081.3
69500 63991.6
70000 64897.6
70500 65798.2
71000 66702
71500 67604.8
72000 68511.3
72500 69413.9
73000 70314.1
73500 71221.7
74000 72128.2
74500 73038.6
75000 73945.4
75500 74898.4
76000 75800.3
76500 76760.6
77000 77714.2
77500 78658.2
78000 79617.4
78500 80576.5
79000 81540.8
79500 82511.5
80000 83480.2
80500 84449.5
81000 85420.3
81500 86391
82000 87368.2
82500 88356.8
83000 89359.1
83500 90359.5
84000 91354.6
84500 92350.7
85000 93348.8
85500 94333.2
86000 95308.6
86500 96284.2
87000 97247.2
87500 98197.1
88000 99140.4
88500 100092
89000 101043
89500 102002
90000 103077
90500 104140
91000 105164
91500 106178
92000 107291
92500 108458
93000 109603
93500 110768
94000 111938
94500 113103
95000 114265
95500 115428
96000 116593
96500 117765
97000 118916
97500 120011
98000 121095
98500 122179
99000 123309
99500 124464
100000 125633
