"seed","modelindex","seedmod"
16601004,1027,"16601004.1027"
18272839,1028,"18272839.1028"
206043678,1028,"206043678.1028"
283359780,1028,"283359780.1028"
440086838,1028,"440086838.1028"
644289465,1028,"644289465.1028"
829606697,1028,"829606697.1028"
1163216082,1028,"1163216082.1028"
2190430610,1028,"2190430610.1028"
2375007324,1028,"2375007324.1028"
2463684711,1028,"2463684711.1028"
2603746130,1028,"2603746130.1028"
2848726040,1028,"2848726040.1028"
3216928058,1028,"3216928058.1028"
829790803,1029,"829790803.1029"
1429158895,1029,"1429158895.1029"
1499941704,1029,"1499941704.1029"
2886618128,1029,"2886618128.1029"
206043678,1030,"206043678.1030"
293379938,1030,"293379938.1030"
1429158895,1030,"1429158895.1030"
1763963450,1030,"1763963450.1030"
1931309650,1030,"1931309650.1030"
2160468435,1030,"2160468435.1030"
2190430610,1030,"2190430610.1030"
2387158051,1030,"2387158051.1030"
2640028681,1030,"2640028681.1030"
2776977750,1030,"2776977750.1030"
2787103171,1030,"2787103171.1030"
2894940099,1030,"2894940099.1030"
2977044203,1030,"2977044203.1030"
3165192143,1030,"3165192143.1030"
4077204288,1030,"4077204288.1030"
4260897988,1030,"4260897988.1030"
564383785,1032,"564383785.1032"
553958512,1033,"553958512.1033"
2160468435,1035,"2160468435.1035"
2776977750,1036,"2776977750.1036"
501174615,1037,"501174615.1037"
644289465,1037,"644289465.1037"
1116924851,1037,"1116924851.1037"
4077204288,1037,"4077204288.1037"
206043678,1040,"206043678.1040"
283359780,1040,"283359780.1040"
313404950,1040,"313404950.1040"
564383785,1040,"564383785.1040"
613991555,1040,"613991555.1040"
767405138,1040,"767405138.1040"
773013889,1040,"773013889.1040"
829790803,1040,"829790803.1040"
835584094,1040,"835584094.1040"
884298832,1040,"884298832.1040"
902336083,1040,"902336083.1040"
953770406,1040,"953770406.1040"
1111628040,1040,"1111628040.1040"
1116924851,1040,"1116924851.1040"
1535973786,1040,"1535973786.1040"
1783207018,1040,"1783207018.1040"
2095433836,1040,"2095433836.1040"
2160468435,1040,"2160468435.1040"
2190430610,1040,"2190430610.1040"
2328441983,1040,"2328441983.1040"
2408622171,1040,"2408622171.1040"
2431892350,1040,"2431892350.1040"
2463684711,1040,"2463684711.1040"
2894940099,1040,"2894940099.1040"
3162864798,1040,"3162864798.1040"
3165192143,1040,"3165192143.1040"
3899598976,1040,"3899598976.1040"
3992150825,1040,"3992150825.1040"
4077204288,1040,"4077204288.1040"
4260897988,1040,"4260897988.1040"
18272839,1041,"18272839.1041"
52226503,1041,"52226503.1041"
73653774,1041,"73653774.1041"
123933562,1041,"123933562.1041"
124345883,1041,"124345883.1041"
158549267,1041,"158549267.1041"
176903477,1041,"176903477.1041"
206043678,1041,"206043678.1041"
283359780,1041,"283359780.1041"
293379938,1041,"293379938.1041"
313404950,1041,"313404950.1041"
440086838,1041,"440086838.1041"
553944768,1041,"553944768.1041"
553958512,1041,"553958512.1041"
564383785,1041,"564383785.1041"
613991555,1041,"613991555.1041"
